Year,building_id,campus_id,consumption,emissions_per_sqft_yearly,gross_floor_area,event_description_Decommissioned the L1 AHU,event_description_HVAC System Tuning,Gas_av_daily_price_per_GJ,electricity_energy_daily_price_per_MWh,Daily_gas_price_per_CRFactor,Price_electricity/Gas_price
2019,13,2.0,103.71754923897129,6708.068441955578,-43.0,0.0,0.0,35.39,124,127.40400000000001,0.97
2019,39,1.0,32.19074058727659,1.7079389827905864,1.226908251865999,0.0,14.0,35.39,124,127.40400000000001,0.97
2020,13,2.0,783.5030800254136,51864.5548519147,-451.0,0.0,0.0,20.45,84,73.62,1.14
2020,14,2.0,357.8431258805005,28917.025389562652,-413.0515718064385,0.0,0.0,20.45,84,73.62,1.14
2020,30,1.0,197.6086295958675,3.405942837535259,70.18370360131688,0.0,0.0,20.45,84,73.62,1.14
2020,39,1.0,420.136487942322,22.60670179333271,14.787473140911251,0.0,224.0,20.45,84,73.62,1.14
2020,62,1.0,54.70683130300275,-22.31885527222574,0.0,1334.0,0.0,20.45,84,73.62,1.14
2021,13,2.0,388.5543217038204,32130.5229017864,-903.0,0.0,0.0,32.87,51,118.332,0.43
2021,14,2.0,339.68440098339823,27566.264488335837,-403.0503230944182,0.0,0.0,32.87,51,118.332,0.43
2021,30,1.0,350.59722107124117,2.445331685898205,155.72950541579755,0.0,0.0,32.87,51,118.332,0.43
2021,39,1.0,641.8966326897047,34.47053849186974,22.85923795581914,0.0,330.0,32.87,51,118.332,0.43
2021,62,1.0,-42.41962929200839,-37.05807698371503,0.0,1681.0,0.0,32.87,51,118.332,0.43
2022,13,2.0,309.13756526062815,22945.622774912717,-441.0,0.0,0.0,80.15,104,288.54,0.36
2022,14,2.0,154.49263832490814,13417.834831996226,-266.03321573974006,0.0,0.0,80.15,104,288.54,0.36
2022,39,1.0,314.8454738819369,16.552246858368143,12.591953111256306,0.0,169.0,80.15,104,288.54,0.36
2022,62,1.0,-3.4634954835501266,-16.389462549248673,0.0,933.0,0.0,80.15,104,288.54,0.36
